id, url
49, https://cdn.bulbagarden.net/upload/d/d3/049Venomoth.png
85, https://cdn.bulbagarden.net/upload/9/93/085Dodrio.png
117, https://cdn.bulbagarden.net/upload/2/26/117Seadra.png
136, https://cdn.bulbagarden.net/upload/thumb/d/dd/136Flareon.png/600px-136Flareon.png
59, https://cdn.bulbagarden.net/upload/thumb/b/b8/059Arcanine.png/600px-059Arcanine.png
92, https://cdn.bulbagarden.net/upload/c/ca/092Gastly.png
60, https://cdn.bulbagarden.net/upload/4/49/060Poliwag.png
53, https://cdn.bulbagarden.net/upload/1/13/053Persian.png
81, https://cdn.bulbagarden.net/upload/6/6c/081Magnemite.png
125, https://cdn.bulbagarden.net/upload/thumb/d/de/125Electabuzz.png/600px-125Electabuzz.png
144, https://cdn.bulbagarden.net/upload/thumb/4/4e/144Articuno.png/600px-144Articuno.png
129, https://cdn.bulbagarden.net/upload/0/02/129Magikarp.png
87, https://cdn.bulbagarden.net/upload/c/c7/087Dewgong.png
146, https://cdn.bulbagarden.net/upload/thumb/1/1b/146Moltres.png/600px-146Moltres.png
148, https://cdn.bulbagarden.net/upload/9/93/148Dragonair.png
105, https://cdn.bulbagarden.net/upload/thumb/9/98/105Marowak.png/600px-105Marowak.png
93, https://cdn.bulbagarden.net/upload/6/62/093Haunter.png
77, https://cdn.bulbagarden.net/upload/3/3b/077Ponyta.png
121, https://cdn.bulbagarden.net/upload/c/cd/121Starmie.png
33, https://cdn.bulbagarden.net/upload/9/9f/033Nidorino.png
109, https://cdn.bulbagarden.net/upload/1/17/109Koffing.png
97, https://cdn.bulbagarden.net/upload/0/0a/097Hypno.png
95, https://cdn.bulbagarden.net/upload/thumb/9/9a/095Onix.png/600px-095Onix.png
24, https://cdn.bulbagarden.net/upload/c/cd/024Arbok.png
28, https://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/600px-028Sandslash.png
26, https://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/600px-026Raichu.png
10, https://cdn.bulbagarden.net/upload/5/5d/010Caterpie.png
69, https://cdn.bulbagarden.net/upload/a/a2/069Bellsprout.png
14, https://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/600px-014Kakuna.png
11, https://cdn.bulbagarden.net/upload/c/cd/011Metapod.png
15, https://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/600px-015Beedrill.png
16, https://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/600px-016Pidgey.png
19, https://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/600px-019Rattata.png
20, https://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/600px-020Raticate.png
116, https://cdn.bulbagarden.net/upload/5/5a/116Horsea.png
13, https://cdn.bulbagarden.net/upload/d/df/013Weedle.png
32, https://cdn.bulbagarden.net/upload/4/4a/032Nidoran.png
50, https://cdn.bulbagarden.net/upload/thumb/3/31/050Diglett.png/600px-050Diglett.png
22, https://cdn.bulbagarden.net/upload/a/a0/022Fearow.png
36, https://cdn.bulbagarden.net/upload/a/a9/036Clefable.png
46, https://cdn.bulbagarden.net/upload/d/d4/046Paras.png
29, https://cdn.bulbagarden.net/upload/8/81/029Nidoran.png
1, https://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/600px-001Bulbasaur.png
122, https://cdn.bulbagarden.net/upload/e/ec/122Mr._Mime.png
18, https://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/600px-018Pidgeot.png
7, https://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/600px-007Squirtle.png
17, https://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/600px-017Pidgeotto.png
31, https://cdn.bulbagarden.net/upload/b/bf/031Nidoqueen.png
41, https://cdn.bulbagarden.net/upload/d/da/041Zubat.png
23, https://cdn.bulbagarden.net/upload/f/fa/023Ekans.png
